총 235건

기간시작          손절종목              대체종목              진입일               손절수익률      비중
2024-05-02    대우건설              CJ제일제당            2024-05-03        -0.4%    0.8%
2024-05-02    두산밥캣              GS                2024-05-03        -1.0%    2.7%
2024-05-02    영원무역              롯데쇼핑              2024-05-03        +1.7%    0.9%
2024-10-02    기아                HL만도              2024-10-04        -0.7%   24.0%
2024-10-02    현대건설              오뚜기               2024-10-04        -0.8%    2.1%
2024-10-02    에스엘               현대위아              2024-10-04        +0.0%    1.0%
2024-10-02    현대위아              SNT다이내믹스          2024-10-28       -14.6%    1.0%
2024-10-02    IPARK현대산업개발       삼성물산              2024-10-04        -2.8%    0.9%
2024-10-02    LG이노텍             CJ제일제당            2024-10-24       -15.4%    3.0%
2024-10-02    한국타이어앤테크놀로지       LS                2024-10-04        -0.3%    2.9%
2024-10-02    LS                F&F               2024-10-24       -12.8%    2.9%
2024-10-02    GS                농심                2024-10-04        +1.6%    2.4%
2024-10-02    OCI홀딩스            팬오션               2024-10-04        -0.6%    0.8%
2024-10-02    롯데웰푸드             BGF리테일            2024-11-01       -11.6%    0.8%
2024-10-02    세방전지              한전KPS             2024-10-04        +0.6%    0.7%
2024-10-02    CJ                효성티앤씨             2024-10-23        -8.5%    2.0%
2024-10-02    KCC               HD한국조선해양          2024-10-21       -10.6%    1.6%
2024-10-02    파라다이스             대우건설              2024-10-25       -15.1%    0.7%
2024-11-01    한일시멘트             HMM               2024-11-13        -6.7%    0.5%
2024-11-01    롯데웰푸드             SK텔레콤             2024-11-15       -15.8%    0.6%
2024-11-01    롯데칠성              KT                2024-11-11        -6.5%    0.6%
2024-11-01    세방전지              CJ제일제당            2024-11-21        -9.7%    0.5%
2024-11-01    OCI홀딩스            LS                2024-11-12       -17.0%    0.7%
2024-11-01    LS                F&F               2024-11-18       -18.2%    0.7%
2024-11-01    CJ                BGF리테일            2024-11-15       -11.3%    1.6%
2024-11-01    CJ대한통운            팬오션               2024-11-14       -10.7%    1.1%
2024-11-01    삼성물산              아모레퍼시픽홀딩스         2024-11-14        -3.0%   11.3%
2024-12-02    현대건설              현대글로비스            2024-12-09       -12.0%    2.0%
2024-12-02    한국앤컴퍼니            HD현대              2024-12-30        -1.2%    1.1%
2024-12-02    KCC               LG유플러스            2024-12-09        -8.3%    1.4%
2025-01-02    LX인터내셔널           SK텔레콤             2025-01-08        -4.1%    0.4%
2025-01-02    LG이노텍             KT                2025-01-24        -5.7%    1.6%
2025-01-02    CJ제일제당            삼성E&A             2025-01-23        -5.3%    1.6%
2025-04-01    팬오션               신세계               2025-04-03        -2.5%    0.4%
2025-04-01    LX인터내셔널           대우건설              2025-04-07        -4.8%    0.2%
2025-04-01    한국타이어앤테크놀로지       OCI홀딩스            2025-04-09        -8.0%    1.2%
2025-04-01    한국앤컴퍼니            DN오토모티브           2025-04-03        -4.9%    0.3%
2025-04-01    DN오토모티브           SNT다이내믹스          2025-05-02        +1.5%    0.3%
2025-04-01    금호타이어             코오롱인더             2025-04-07       -11.8%    0.3%
2025-04-01    세방전지              현대차               2025-04-02        +2.1%    0.2%
2025-04-01    HMM               LG유플러스            2025-04-07       -11.2%    4.4%
2025-04-01    SK스퀘어             삼성E&A             2025-04-07       -16.7%    3.0%
2025-04-01    대한항공              CJ                2025-04-02        +0.5%    1.9%
2025-04-01    HD현대              영원무역              2025-04-04        -3.2%    1.4%
2025-04-01    효성티앤씨             BGF리테일            2025-04-07        -9.8%    0.2%
2025-04-01    SK하이닉스            DL이앤씨             2025-04-07       -16.3%   30.0%
2025-04-01    기아                아모레퍼시픽홀딩스         2025-04-04        -3.8%    9.0%
2025-04-01    KCC               IPARK현대산업개발       2025-04-07        -9.0%    0.6%
2025-04-01    씨에스윈드             파라다이스             2025-04-09       -12.5%    0.4%
2025-04-01    LG이노텍             현대모비스             2025-04-03       -10.4%    0.9%
2025-04-01    LS                오리온               2025-04-02        -1.9%    0.8%
2025-04-01    풍산                HL만도              2025-04-04        -8.5%    0.4%
2025-05-02    씨에스윈드             대우건설              2025-05-23        +6.1%    0.4%
2025-05-02    OCI홀딩스            코오롱인더             2025-05-23        +0.9%    0.3%
