ym,logB_bull,logB_bear,lldiff,raw_dur,raw_plain,E_d_bear,frac_long,breadth,newlow,trend,d_breadth,d_newlow,diverg,kospi_ret,fcf_next,pb_FULL,exp_FULL,pb_NO_DURATION,exp_NO_DURATION,pb_NO_EMA,exp_NO_EMA,pb_NO_BOTH,exp_NO_BOTH
2022-02,-30.29936785539058,-9.985949943643005,-20.313417911747578,0.9999999820816631,0.999999975269106,1.0127104712217883,1.5233084047734272e-08,0.18549871181450128,0.02327246688148944,-0.12499562763251286,-0.013977336089690345,-0.2078596085902087,-0.0928863185664659,0.021662124120634507,-0.0178075569595101,0.6864707548389819,0.30000000000000004,0.686144769833354,0.30000000000000004,0.9999999820816631,0.2,0.999999975269106,0.2
2022-03,-4.21040824360281,-8.783302713073093,4.572894469470283,0.010664193163698718,0.011364380495896373,2.0133466797479254,7.834273109662997e-07,0.31947483588621445,0.016387602422515142,-0.08662633775378654,0.007718883505262064,-0.0009471754756430369,-0.3585925077784875,-0.022700435418731346,-0.0094364434032102,0.3485674740013403,0.65,0.3487545751646252,0.65,0.010664193163698718,1.0,0.011364380495896373,1.0
2022-04,-5.719676798555,-8.870260755150024,3.1505839565950247,0.028885283097857328,0.011428355804658055,1.0236961748232938,1.2089856124857574e-06,0.34494015233949943,0.019538188277087035,-0.08958797063819257,0.17975168227298058,-0.008899536704914404,-0.49695006424694477,-0.003395167554811729,-0.0008709780742757,0.1887263785495988,0.8,0.18009146548464164,0.8,0.028885283097857328,1.0,0.011428355804658055,1.0
2022-05,-4.941967230283874,-8.443709495141514,3.50174226485764,0.0076011800084906,0.004771303499914577,1.0578399448705447,3.686470481306281e-08,0.30985915492957744,0.014846235418875928,-0.07187937994158612,0.12436044311507616,-0.008426231462613511,-0.1622565129998289,-0.1315238924046893,-0.1455618813484261,0.09816377927904471,0.8,0.09243138449227811,0.8,0.0076011800084906,1.0,0.004771303499914577,1.0
2022-06,-8.550403697521544,-10.236209696504158,1.6858059989826142,0.0627935797365086,0.058426386605022966,1.0132092827298698,4.5347273226718824e-08,0.1302158273381295,0.06,-0.188198407031154,-0.18925900854808494,0.043612397577484856,-0.3302944126477587,0.05095518935436982,0.037601582629774,0.08047867950777665,0.8,0.07542888554865054,0.8,0.0627935797365086,1.0,0.058426386605022966,1.0
2022-07,-5.35543669730246,-9.525839899052315,4.1704032017498545,0.0023040432150560723,0.0024291787168386585,1.185447518950747,1.2566268231603183e-06,0.1741151233464426,0.013971358714634998,-0.11012047432411311,-0.17082502899305682,-0.005566829562452037,0.1543686592478566,0.00838264280160117,-0.0011959298209331,0.041391361361416364,0.9500000000000001,0.0389290321327446,0.9500000000000001,0.0023040432150560723,1.0,0.0024291787168386585,1.0
2022-08,-4.866398138171677,-8.875478663190293,4.009080525018616,0.005889127679459331,0.005997902754442044,1.0065136466057518,6.095329654618206e-09,0.21573513705945177,0.01768990634755463,-0.0810094452419559,-0.09412401787012567,0.002843670928678701,0.21276603686939655,-0.12805568347769303,-0.0918289987469501,0.023640244520437847,0.9500000000000001,0.022463467443593323,0.9500000000000001,0.005889127679459331,1.0,0.005997902754442044,1.0
2022-09,-127.06823228492672,-10.314832339013286,-116.75339994591343,0.9999999965248986,0.999999996545831,1.0132856783730901,4.188707187394381e-09,0.10053285968028419,0.2832988267770876,-0.1945588916680447,-0.02968296765784531,0.22329882677708762,-0.19987846049413038,0.06407829208823257,0.0100058931949772,0.5118201205226682,0.5,0.5112317319947122,0.5,0.9999999965248986,0.2,0.999999996545831,0.2
2022-10,-7.070051524433065,-9.185359875354873,2.115308350921808,0.12386986064438715,0.1943514852147063,2.0141335925417763,1.6793990853609776e-07,0.12968197879858656,0.0332533424751457,-0.10422497886324614,-0.044433144547856046,0.0192819837605107,0.40622844154556226,0.0780079932923361,0.0437304375368187,0.31784499058352766,0.7000000000000001,0.35279160860470926,0.5,0.12386986064438715,0.9,0.1943514852147063,0.8
2022-11,-5.8927148156954114,-8.785319629163443,2.892604813468031,0.00511942820206795,0.0059903987014099155,1.6070817334144292,3.959908152244839e-06,0.22950245269796776,0.012224108658743633,-0.01108148224600031,0.013767315638515992,-0.005465797688810996,0.7243516453650528,-0.09550141925688738,-0.0861212453563599,0.1614822093927978,0.7000000000000001,0.1793910036530596,0.8,0.00511942820206795,0.9,0.0059903987014099155,1.0
2022-12,-54.04412798541682,-10.07615500567889,-43.96797297973793,0.9999999538437471,0.999999941469166,1.0302279629209175,4.426410252688388e-07,0.14764397905759163,0.13706954760297096,-0.09679931345329791,0.04711111937730744,-0.14622927917411666,0.35829410880080803,0.08436781614214572,0.0634698356536683,0.5807410816182724,0.4,0.5896954725611128,0.4,0.9999999538437471,0.2,0.999999941469166,0.2
2023-01,-3.9658837615582514,-10.041546065616405,6.075662304058154,0.00018986343524038564,8.626230679221814e-05,2.001347436076599,2.592401411802568e-07,0.3541449878598682,0.014141414141414142,-0.0014223935164539398,0.22446300906128164,-0.019111928333731557,0.26817825929307804,-0.005043124381363007,0.0370523722440105,0.2904654725267564,0.7000000000000001,0.2948908674339525,0.7000000000000001,0.00018986343524038564,1.0,8.626230679221814e-05,1.0
