ym,hreg,areg,hret,aret,gap,hstop,astop,cum_h,cum_a
2023-02,Bull,Bull,3.7065527930473747,3.7052372244010563,0.0013155686463185712,0,0,0.9834089943065454,1.0596790712397774
2023-03,Bull,Bull,1.0785842275457516,1.0785842275457516,0.0,0,0,0.994015888611402,1.071108602564773
2023-04,Bull,Bull,3.9093838761089064,3.9093838761089064,0.0,0,0,1.0328757854867368,1.1129823495690556
2023-05,Bull,Bull,-2.212885986264591,-2.212885986264591,0.0,0,0,1.0100194219741805,1.0883533191258437
2023-06,Bull,Bull,5.504857129869049,5.504857129869049,0.0,0,0,1.0656195481377884,1.1482656144119092
2023-07,Bull,Bull,6.886022409893079,6.886022409893079,0.0,0,0,1.138998349026758,1.2273354419454099
2023-08,Bull,Bull,-3.3252771055045467,-3.3252771055045467,0.0,0,0,1.1011234976944964,1.1865231374866563
2023-09,Bull,Bull,-0.174394512165272,-0.174394512165272,0.0,0,0,1.0992031987423547,1.1844539062493082
2023-10,Bull,Bull,-6.530562769055622,-6.530562769055622,0.0,0,0,1.027419043889018,1.1071024004311658
2023-11,Bear,Bull,6.62631812006274,7.135034631068797,-0.5087165110060576,4,0,1.0954990981632113,1.1860945401033234
2023-12,Bull,Bull,5.615152097696145,5.620347860913742,-0.00519576321759696,0,0,1.1570130387539652,1.2527571792164351
2024-01,Bull,Bull,3.9094474354355446,3.9094474354355446,0.0,0,0,1.2022458553251871,1.3017330626315469
2024-02,Bull,Bull,9.252133595409742,9.252133595409742,0.0,0,0,1.31347924800515,1.4221711446418364
2024-03,Bull,Bull,-2.2426245308646067,-2.2426245308646067,0.0,0,0,1.2840228401815705,1.3902771856812204
2024-04,Bull,Bull,-0.5578728049797433,-0.5578728049797433,0.0,0,0,1.276859625946469,1.3825212073484672
2024-05,Bull,Bear,-0.21174518292543681,-0.1603026888178259,-0.051442494107610925,0,7,1.2741559371958076,1.3803049886796108
2024-06,Bull,Bull,4.229299763129276,4.197053375859438,0.03224638726983739,0,0,1.3280438112295274,1.4382371258041444
2024-07,Bull,Bull,-5.970252196291711,-5.970252196291711,0.0,0,0,1.2487562464218804,1.3523707422129396
2024-08,Bull,Bull,-4.49031852005496,-4.49031852005496,0.0,0,0,1.1926831134184557,1.2916449883155472
2024-09,Bull,Bull,-0.9934568570528611,-0.9934568570528611,0.0,0,0,1.1808343212452885,1.2788130526103467
2024-10,Bull,Bear,0.16907131925471308,2.2627075217314245,-2.0936362024767114,0,14,1.1828307734104304,1.3077488517406444
2024-11,Bull,Bear,-0.1602282667113792,-0.4388591795257182,0.278630912814339,0,12,1.180935544164066,1.3020096758596384
2024-12,Bear,Bear,1.3954844270750169,1.0344651015965984,0.3610193254784184,8,4,1.1974153157766694,1.3154785115758174
2025-01,Bull,Bear,0.036580618155256345,0.09838917670519295,-0.06180855854993661,0,4,1.1978533377010663,1.3167728000530905
2025-02,Bull,Bull,-0.794690699410871,-0.8124061480996758,0.01771544868880478,0,2,1.1883341086337733,1.3060752568689549
2025-03,Bull,Bull,-0.07436332223607627,-0.07436332223607627,0.0,0,0,1.1874504239113286,1.3051040159170437
2025-04,Bear,Bear,-5.656221391386406,-4.14002821842603,-1.5161931729603757,16,16,1.1202855990219474,1.2510723413782667
2025-05,Bull,Bear,8.04592033550345,7.978106500523651,0.0678138349797977,0,5,1.2104228858493709,1.3508842251720194
2025-06,Bull,Bull,19.089363656970022,19.091651418138216,-0.002287761168193181,0,0,1.4414849123163485,1.6087903325044788
2025-07,Bull,Bull,-8.321755086351615,-8.321755086351615,0.0,0,0,1.3215280683066717,1.4749107411805542
2025-08,Bull,Bull,3.266755696540935,3.266755696540935,0.0,0,0,1.3646991617594673,1.523092471836964
2025-09,Bull,Bull,12.026687826512955,12.026687826512955,0.0,0,0,1.5288272697153173,1.7062700487339153
2025-10,Bull,Bull,31.398062798290866,31.398062798290866,0.0,0,0,2.0088494159379287,2.242005790143818
2025-11,Bull,Bull,-0.3995962629265627,-0.3995962629265627,0.0,0,0,2.0008221287440184,2.233046818791806
2025-12,Bull,Bull,12.961714919065937,12.961714919065937,0.0,0,0,2.260162989109405,2.5224879814528713
2026-01,Bull,Bull,15.216571052629707,15.216571052629707,0.0,0,0,2.604082296252477,2.906324157444692
2026-02,Bull,Bull,18.720406913882037,18.720406913882037,0.0,0,0,3.0915770984833038,3.450399865954792
2026-03,Bull,Bull,-10.32853265987158,-10.32853265987158,0.0,0,0,2.7722625481613457,3.094024188903486
2026-04,Bull,Bull,42.814892336004604,42.814892336004604,0.0,0,0,3.9592037734280034,4.418727314232453
2026-05,Bull,Bull,17.503926120808472,17.503926120808472,0.0,0,0,4.6522198769011025,5.192178078795686
2026-06,Bear,Bear,-2.522686433527014,-2.520640412735128,-0.0020460207918859136,2,1,4.534858957208671,5.061301939840387
