ym,kospi,fcf_next,pbear,base_exp,trend,mom3,d_breadth,score_FULL_BASE,final_FULL_BASE,score_TREND_LEVEL,final_TREND_LEVEL,score_TREND_CROSS,final_TREND_CROSS,score_PRICE_MOM,final_PRICE_MOM,score_TREND_PLUS_MOM,final_TREND_PLUS_MOM,score_PRICE_PLUS_THRUST,final_PRICE_PLUS_THRUST
2023-01,-0.005043124381363007,0.0370523722440105,0.2904654725267564,0.7000000000000001,-0.0014223935164539398,0.057320104353264956,0.22446300906128164,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.3821340290217664,0.7000000000000001,0.0,0.7000000000000001,0.8978520362451266,0.7000000000000001
2023-02,0.026528796723759074,0.0107858422754575,0.14529188447934546,0.8500000000000001,0.0031616326523328203,-0.024137191837300453,0.2056699610951357,0.0,0.8500000000000001,0.0632326530466564,0.8500000000000001,0.0632326530466564,0.8500000000000001,0.0,0.8500000000000001,0.0,0.8500000000000001,0.0,0.8500000000000001
2023-03,0.009960159558901616,0.039093838761089,0.5266448492192589,0.45,0.038573901473973965,0.10752111231364414,0.3354097696586015,0.0,0.45,0.7714780294794793,0.4628868176876876,0.7714780294794793,0.4628868176876876,0.7168074154242943,0.45,0.7168074154242943,0.45,0.3316099590469884,0.45
2023-04,0.030217541666638148,-0.0221288598626459,0.2640360069023808,0.75,0.04218945826008652,0.03152471205445062,0.0978400817023985,0.0,0.75,0.8437891652017304,0.75,0.8437891652017304,0.75,0.2101647470296708,0.75,0.2101647470296708,0.75,0.04872514125059297,0.75
2023-05,-0.0049823397074086895,0.0550485712986904,0.13205472939770696,0.75,0.06712525867587818,0.06808131996712752,0.08863711001642038,0.0,0.75,1.0,0.75,1.0,0.75,0.4538754664475168,0.75,0.4538754664475168,0.75,0.13391977825657864,0.75
2023-06,0.02663517558449069,0.0688602240989307,0.06607272310424193,0.9500000000000001,0.05629279850645504,0.03529465455600311,0.0605049462047621,0.0,0.9500000000000001,1.0,0.9500000000000001,1.0,0.9500000000000001,0.23529769704002076,0.9500000000000001,0.23529769704002076,0.9500000000000001,0.0,0.9500000000000001
2023-07,-0.02898679482832678,-0.0332527710550454,0.033086249155750855,0.9500000000000001,0.06920165333066294,0.05238795748734648,-0.01747920691570054,0.0,0.9500000000000001,1.0,0.9500000000000001,1.0,0.9500000000000001,0.3492530499156432,0.9500000000000001,0.3492530499156432,0.9500000000000001,0.0,0.9500000000000001
2023-08,-0.03567696310446833,-0.0017439451216527,0.016713027425048176,0.9500000000000001,0.027950871948379755,-0.008090464048297497,-0.09086443229538071,0.0,0.9500000000000001,0.559017438967595,0.9500000000000001,0.559017438967595,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001
2023-09,-0.07589239775626777,-0.0653056276905562,0.010006473624584643,0.9500000000000001,-0.012585355701384738,-0.03868920703044387,-0.23902377270976688,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001
2023-10,0.11295047385245627,0.0713503463106879,0.5050032317796088,0.5,-0.09427100994547444,-0.13469299218551178,-0.2630772912179947,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
