dt,BM(무손절),HMM(p>=0.2)
2006-08-30,2.2828768638045656,1.6446120400427864
2006-08-31,2.3022618128429064,1.6585771912471925
2006-09-01,2.3089504689382623,1.6633957798099568
2006-09-04,2.3130180942742142,1.6663261461858028
2006-09-05,2.3167281741173844,1.6689989324741656
2006-09-06,2.3095290652179816,1.663812607551758
2006-09-07,2.299589882231247,1.6566523001925033
2006-09-08,2.3059209928338213,1.6612133086677847
2006-09-11,2.2705038368620274,1.6356983621287005
2006-09-12,2.260224352005928,1.6282928971963502
2006-09-13,2.268887091350797,1.634533639153225
2006-09-14,2.31249039784675,1.665945987311772
2006-09-15,2.3164898797070297,1.6688272623054596
2006-09-18,2.338955412456566,1.6850117031886567
2006-09-19,2.3383595725534296,1.6845824529324676
2006-09-20,2.325578100265854,1.6753745260631279
2006-09-21,2.3261739401689905,1.675803776319317
2006-09-22,2.2948414454020667,1.6532314690016183
2006-09-25,2.3064655173757043,1.661605590718507
2006-09-26,2.2873358986166363,1.6478243825283465
2006-09-27,2.314668911523281,1.6675154148523574
2006-09-28,2.3340708964305397,1.681492838902303
2006-09-29,2.3340368246927032,1.681468293211224
2006-10-02,2.338819125505221,1.6849135204243402
2006-10-04,2.301002405069959,1.6576698986903522
2006-10-09,2.245519696321095,1.617699485800671
2006-10-10,2.2607859124167295,1.6286974520926125
2006-10-11,2.2558843605217853,1.6251663149607194
2006-10-12,2.266589534346339,1.632878451362711
2006-10-13,2.295215819009268,1.6535011722657935
2006-10-16,2.3090354405283544,1.663456994368807
2006-10-17,2.2998111407726842,1.6568116975156701
2006-10-18,2.3048487718644743,1.6604408677430318
2006-10-19,2.3045084699951097,1.6601957101699363
2006-10-20,2.321833948684848,1.6726771940836862
2006-10-23,2.323042248851041,1.6735476681039079
2006-10-24,2.3256803154793633,1.6754481631363656
2006-10-25,2.3340708964305406,1.6814928389023034
2006-10-26,2.3378491197493836,1.6842147165728247
2006-10-27,2.3300882426846803,1.6786236870853073
2006-10-30,2.307997291296844,1.662709099135133
2006-10-31,2.3223616451123124,1.673057352957717
2006-11-01,2.3390403840466583,1.6850729177475068
2006-11-02,2.355004447504439,1.6965736217000267
2006-11-03,2.355259777783712,1.6967575647142723
2006-11-06,2.347277642177572,1.6910071379035883
2006-11-07,2.3613185222380952,1.7011223573297685
2006-11-08,2.3487753443608748,1.692086100629135
2006-11-09,2.381741620507947,1.7158354037678485
2006-11-10,2.375427545774291,1.7112866681381067
2006-11-13,2.3770613271544394,1.712463663959122
2006-11-14,2.395237976026587,1.7255583411433064
2006-11-15,2.404037002322801,1.7318972658644978
2006-11-16,2.4009904903494417,1.729702521876786
2006-11-17,2.403492270026419,1.7315048341449275
2006-11-20,2.3864559855992913,1.7192316892676547
2006-11-21,2.3927361963496105,1.7237560288751654
2006-11-22,2.4210562508810116,1.7441581378962316
2006-11-23,2.4154227798860846,1.7400997174126809
2006-11-24,2.419677592025637,1.7431649354206145
2006-11-27,2.425464178086328,1.7473336618451736
2006-11-28,2.402215826384554,1.7305852687425483
2006-11-29,2.42107328674993,1.7441704107417717
2006-11-30,2.437513731273921,1.7560143053628556
2006-12-01,2.441172911264836,1.758650422783448
2006-12-04,2.4277276633529503,1.7489643039446092
2006-12-05,2.417737372759461,1.7417671780487356
2006-12-06,2.406062193179069,1.7333562377952283
2006-12-07,2.4002247072661227,1.7291508425028985
2006-12-08,2.36640746869114,1.704788495762598
2006-12-11,2.3669179214951868,1.7051562321222413
2006-12-12,2.343516454727648,1.6882975330786079
2006-12-13,2.3542386644211195,1.696021942326139
2006-12-14,2.413976185309536,1.7390575732237534
2006-12-15,2.4199158864359913,1.7433366055893205
2006-12-18,2.439249727867578,1.757264938257108
2006-12-19,2.429940248767317,1.7505582771762733
2006-12-20,2.4546522309145575,1.768361087313366
2006-12-21,2.444763947780078,1.7612374488218818
2006-12-22,2.4464999443737354,1.7624880817161344
2006-12-26,2.4404241640504343,1.7581110162550988
2006-12-27,2.425413070479574,1.7472968433085552
2006-12-28,2.4413430621995182,1.7587730015699958
2007-01-02,2.442704685185974,1.7597539312000736
2007-01-03,2.398607754000393,1.727985969858575
2007-01-04,2.3780826482715316,1.7131994360161056
2007-01-05,2.358459404822836,1.6990626146429935
2007-01-08,2.3330157113301118,1.6807326708230912
2007-01-09,2.339023348177741,1.6850606449019687
2007-01-10,2.307452766754961,1.662316817084412
2007-01-11,2.3236551246230963,1.673989191205638
2007-01-12,2.362901403765988,1.702262684283014
2007-01-15,2.3673093309713047,1.7054382082319552
2007-01-16,2.3651819249015285,1.7039055992279886
2007-01-17,2.3477712668671997,1.691362751086541
2007-01-18,2.3541194133386925,1.695936032407362
2007-01-19,2.3155709815579466,1.6681652769905642
2007-01-22,2.3204214258461366,1.6716595955858387
2007-01-23,2.3198766935497543,1.6712671638662682
2007-01-24,2.3538642908139185,1.6957522390619642
2007-01-25,2.3526728187621444,1.694893888218434
2007-01-26,2.3339005377413593,1.6813701104469085
2007-01-29,2.3198937294186726,1.6712794367118078
2007-01-30,2.3328623885098487,1.6806222152132348
2007-01-31,2.3150092133926465,1.6677605724254543
2007-02-01,2.3535919246657278,1.6955560232021791
2007-02-02,2.405058115685394,1.732632888252633
2007-02-05,2.4132442662095537,1.7385302898720958
2007-02-06,2.4313357357371106,1.7515636028285821
2007-02-07,2.42743846909034,1.748755964908132
2007-02-08,2.4228261114580056,1.7454331668127154
2007-02-09,2.429804169570471,1.7504602440808046
2007-02-12,2.407015370820488,1.7340429184700519
2007-02-13,2.414078192768546,1.739131060628143
2007-02-14,2.444134243893604,1.7607838025434615
2007-02-15,2.456949787919016,1.7700162751038804
2007-02-16,2.4657658500841486,1.7763674726706116
2007-02-20,2.4728286720322066,1.7814556148287026
2007-02-21,2.470139705551629,1.779518450928474
2007-02-22,2.4940177611398773,1.7967204903095195
2007-02-23,2.5016253153843175,1.8022010641871808
2007-02-26,2.5018806456635905,1.8023850072014265
2007-02-27,2.4756198537262932,1.7834664158021687
