ym,bench,ovA,ovB,ovP,expA,expB,expP
2025-02,-0.00794690699410871,-0.006754870944992404,-0.005960180245581533,-0.005960180245581533,0.8500000000000001,0.75,0.75
2025-03,-0.0007436332223607627,-0.0006320882390066483,-0.0006692699001246864,-0.0007064515612427246,0.8500000000000001,0.9,0.9500000000000001
2025-04,0.004507304309873159,0.0020282869394429217,0.0020282869394429217,0.0020282869394429217,0.45,0.45,0.45
2025-05,0.0808435554205224,0.05254831102333957,0.05659048879436569,0.060632666565391805,0.65,0.7000000000000001,0.75
2025-06,0.19089363656970024,0.16225959108424523,0.13362554559879017,0.14317022742727517,0.8500000000000001,0.7000000000000001,0.75
2025-07,-0.08321755086351615,-0.07073491823398874,-0.07905667332034035,-0.07905667332034035,0.8500000000000001,0.9500000000000001,0.9500000000000001
2025-08,0.03266755696540935,0.02776742342059795,0.031034179117138884,0.031034179117138884,0.8500000000000001,0.9500000000000001,0.9500000000000001
2025-09,0.12026687826512955,0.10222684652536013,0.11425353435187308,0.11425353435187308,0.8500000000000001,0.9500000000000001,0.9500000000000001
2025-10,0.31398062798290866,0.26688353378547236,0.29828159658376324,0.29828159658376324,0.8500000000000001,0.9500000000000001,0.9500000000000001
2025-11,-0.003995962629265627,-0.0033965682348757833,-0.003796164497802346,-0.003796164497802346,0.8500000000000001,0.9500000000000001,0.9500000000000001
2025-12,0.12961714919065936,0.11017457681206047,0.1231362917311264,0.1231362917311264,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-01,0.15216571052629707,0.12934085394735254,0.14455742499998223,0.14455742499998223,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-02,0.18720406913882037,0.15912345876799733,0.17784386568187938,0.17784386568187938,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-03,-0.10328532659871581,-0.08779252760890845,-0.09812106026878002,-0.09812106026878002,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-04,0.428148923360046,0.3639265848560391,0.40674147719204373,0.40674147719204373,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-05,0.17503926120808472,0.14878337202687203,0.1662872981476805,0.1662872981476805,0.8500000000000001,0.9500000000000001,0.9500000000000001
2026-06,-0.09812564527542224,-0.034343975846397784,-0.034343975846397784,-0.04906282263771112,0.35000000000000003,0.35000000000000003,0.5
2026-07,-0.006959493442837053,-0.0013918986885674107,-0.0013918986885674107,-0.002087848032851116,0.2,0.2,0.30000000000000004
